INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] ---  w: got web module ) 
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] core 1905.6 [p*cib]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] scripting 1905.6 [p*ci]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] maintenanceweb 1905.6 [p*w]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] testweb 1905.6 [p*w]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] deliveryzone 1905.6 [p*ci]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] paymentstandard 1905.6 [p*ci]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] commons 1905.6 [p*ci]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] processing->(scripting,commons) 1905.6 [p*cibw]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] mediaweb 1905.6 [p*cw]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] impex->processing 1905.6 [p*ci]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] validation->impex 1905.6 [p*ci]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] catalog->(validation,commons) 1905.6 [p*cib]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] europe1->(impex,catalog) 1905.6 [p*ci]
